run_id,stage,top_n,lookback_days,min_amount,max_weight_per_stock,dividend_weight,volatility_weight,value_weight,total_return,annual_return,max_drawdown,sharpe,turnover,trade_count,status,error,elapsed_sec
81,A,5,90,50000.0,,0.6,0.2,0.2,1.545568097137807,0.21462090309279125,-0.1306849025092317,1.3952830389158857,49.1315985495115,406,ok,,3.736218
82,A,5,120,0.0,,0.5,0.5,0.0,2.288011991403348,0.2810614265871274,-0.17125338747519392,1.4595787818155113,49.393548456722904,396,ok,,117.223497
83,A,5,120,0.0,,0.6,0.4,0.0,2.2818866047164637,0.2805644372610774,-0.16534757697242142,1.4133646404901858,51.52241723932404,410,ok,,5.053883
84,A,5,120,0.0,,0.7,0.3,0.0,1.4569607438720373,0.20569909645038464,-0.18933803295931406,1.1221210393301648,55.11653924404854,413,ok,,4.037341
85,A,5,120,0.0,,0.8,0.2,0.0,1.7914920362771176,0.2381555343252435,-0.22248454835286158,1.1921975376979639,59.500484573173,431,ok,,4.144372
86,A,5,120,0.0,,0.5,0.4,0.1,1.534213360881901,0.2134914767958389,-0.11217120192179963,1.503207182975353,47.23501802832577,383,ok,,3.887196
87,A,5,120,0.0,,0.6,0.3,0.1,1.9696671558402516,0.25420040302340685,-0.1618321213359455,1.6795589696849829,48.06228898221877,394,ok,,3.927093
88,A,5,120,0.0,,0.7,0.2,0.1,2.0328126286554564,0.25970381424953937,-0.14389761316736016,1.5062748387379334,52.89137293194068,419,ok,,4.275158
89,A,5,120,0.0,,0.5,0.3,0.2,1.600178554817099,0.21999778334419173,-0.12975497801271751,1.486413450221473,43.75147153170049,387,ok,,4.118195
90,A,5,120,0.0,,0.6,0.2,0.2,2.1509560627858333,0.26976136002118656,-0.13922745325614738,1.6128442789375839,48.406819241067666,402,ok,,4.017386
91,A,5,120,10000.0,,0.5,0.5,0.0,1.0917759735594408,0.16599529628295806,-0.08793407065830472,1.280472273522591,46.735640090394824,384,ok,,117.166712
92,A,5,120,10000.0,,0.6,0.4,0.0,1.2527678588536175,0.18412524713687484,-0.13935644019978422,1.3094289319620105,50.26082746088958,404,ok,,5.416116
93,A,5,120,10000.0,,0.7,0.3,0.0,1.4445347453116724,0.2044276447679534,-0.1511055026251732,1.292180237657139,57.947612137987846,426,ok,,4.255867
94,A,5,120,10000.0,,0.8,0.2,0.0,1.4131963822324787,0.201198161265155,-0.14472735139948134,1.1815601885486238,61.25368181852176,442,ok,,4.047938
95,A,5,120,10000.0,,0.5,0.4,0.1,1.4711054190626571,0.20714022389655895,-0.1121639666486226,1.466028973674139,47.04384183224511,384,ok,,3.986901
96,A,5,120,10000.0,,0.6,0.3,0.1,1.964416426401446,0.2537386184079493,-0.1670102533635165,1.6809729301479392,48.221892530171964,398,ok,,4.3706
97,A,5,120,10000.0,,0.7,0.2,0.1,2.081319848082479,0.2638701348543333,-0.14386821934271243,1.5224754809938121,53.96803275934611,422,ok,,4.483342
98,A,5,120,10000.0,,0.5,0.3,0.2,1.6076343945788896,0.2207249204564552,-0.10807588425560455,1.481266414024227,43.90456504795257,387,ok,,4.062845
99,A,5,120,10000.0,,0.6,0.2,0.2,2.115278240068233,0.2667560419204984,-0.13923525221558275,1.6065715137832417,49.00714339847729,404,ok,,4.208167
100,A,5,120,50000.0,,0.5,0.5,0.0,1.143634033516058,0.17195236696953997,-0.08846762815922793,1.3009417656347757,47.89374855249608,392,ok,,117.508925
101,A,5,120,50000.0,,0.6,0.4,0.0,1.575969907349132,0.21762537307146612,-0.1065609057495499,1.539082355936489,58.8842144050603,417,ok,,4.876139
102,A,5,120,50000.0,,0.7,0.3,0.0,1.4742830216354,0.20746307435943612,-0.14006082148740695,1.3197121108549346,62.01354956217689,433,ok,,3.901033
103,A,5,120,50000.0,,0.8,0.2,0.0,1.2825266111406424,0.1873633648478643,-0.1838382461089384,1.1041111235327463,63.26736547332257,445,ok,,4.253215
